Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Age,Km_Per_Year,Model,Price_Lakhs
Hyundai,Pune,2013,45000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,13,3461.5,i10 Sportz Option,3.55
Hyundai,Hyderabad,2018,11691,Petrol,Manual,First,18.6,1197.0,81.83,5.0,8,1461.4,i20 1.2 Asta Option,8.9
Skoda,Hyderabad,2006,121000,Diesel,Manual,Second,16.4,1896.0,90.0,5.0,20,6050.0,Octavia L and K 1.9 TDI MT,2.5
Hyundai,Hyderabad,2010,118077,Diesel,Manual,First,16.2,1493.0,110.0,5.0,16,7379.8,Verna Transform SX VGT CRDi,3.85
Hyundai,Chennai,2012,36300,Petrol,Automatic,Third,17.1,1591.0,121.4,5.0,14,2592.9,Verna 1.6 SX VTVT (O) AT,7.5
Hyundai,Mumbai,2005,90000,Petrol,Manual,Second,15.3,1341.0,61.0,5.0,21,4285.7,Getz GVS,1.8
Ford,Chennai,2010,78000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,16,4875.0,Figo Diesel EXI,2.25
Audi,Mumbai,2015,42000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,11,3818.2,A6 2011-2015 35 TDI Technology,24.25
Volkswagen,Mumbai,2015,27000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,11,2454.5,Polo 1.2 MPI Highline,4.35
BMW,Kolkata,2012,22000,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,14,1571.4,X1 sDrive20d,11.5
Honda,Kolkata,2014,49000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,12,4083.3,City i VTEC SV,4.75
Hyundai,Hyderabad,2012,42600,Diesel,Manual,First,23.0,1396.0,90.0,5.0,14,3042.9,i20 Sportz Option Diesel,4.99
Honda,Coimbatore,2018,12794,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,8,1599.2,Jazz 1.2 V CVT i VTEC,9.15
Honda,Hyderabad,2014,88046,Petrol,Automatic,First,10.1,2354.0,152.0,5.0,12,7337.2,CR-V 2.4 AT,13.99
Mercedes-Benz,Bangalore,2014,8000,Diesel,Automatic,Second,20.0,2143.0,107.3,5.0,12,666.7,A Class A180 CDI,19.75
Mahindra,Coimbatore,2018,82739,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,8,10342.4,XUV500 AT W10 AWD,16.77
Mahindra,Bangalore,2006,193000,Diesel,Manual,Third,13.6,2523.0,63.0,7.0,20,9650.0,Bolero SLX 2WD,2.5
Renault,Mumbai,2013,7000,Petrol,Automatic,First,17.97,1498.0,99.6,5.0,13,538.5,Scala RxL AT,3.65
Land Rover,Ahmedabad,2012,60000,Diesel,Automatic,Second,12.35,2179.0,187.74,5.0,14,4285.7,Freelander 2 HSE SD4,23.5
Maruti Suzuki,Pune,2017,38000,Petrol,Manual,First,22.74,796.0,47.3,5.0,9,4222.2,Alto 800 VXI,3.11
Toyota,Kochi,2013,56344,Petrol,Manual,First,17.6,1496.0,88.73,5.0,13,4334.2,Etios G,4.57
Hyundai,Mumbai,2014,17858,Petrol,Manual,First,17.0,1197.0,80.0,5.0,12,1488.2,i20 Sportz Option,5.32
Hyundai,Hyderabad,2012,53000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,14,3785.7,i10 Sportz,3.2
Maruti Suzuki,Kochi,2016,67906,Diesel,Manual,First,25.2,1248.0,74.0,5.0,10,6790.6,Swift VDI BSIV,5.63
Hyundai,Hyderabad,2015,19000,Petrol,Manual,First,21.1,814.0,55.2,5.0,11,1727.3,EON Magna Plus,3.0
BMW,Mumbai,2010,67000,Diesel,Automatic,Second,22.69,1995.0,190.0,5.0,16,4187.5,3 Series 320d,9.25
Tata,Delhi,2011,80000,Diesel,Manual,First,23.57,1396.0,70.0,5.0,15,5333.3,Indigo XL Classic Dicor,1.2
Maruti Suzuki,Delhi,2015,61000,Petrol,Manual,First,22.74,796.0,47.3,5.0,11,5545.5,Alto 800 LXI,2.15
Volkswagen,Pune,2010,39000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,16,2437.5,Polo Diesel Highline 1.2L,3.05
Toyota,Ahmedabad,2014,59000,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,12,4916.7,Corolla Altis VL AT,11.5
Hyundai,Hyderabad,2008,80931,Petrol,Manual,First,17.92,1086.0,62.1,5.0,18,4496.2,Santro Xing GLS,2.3
Maruti Suzuki,Kolkata,2016,34000,Petrol,Manual,First,20.4,1197.0,81.8,5.0,10,3400.0,Swift ZXI,4.95
Renault,Hyderabad,2013,130000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,13,10000.0,Scala Diesel RxL,4.75
Maruti Suzuki,Coimbatore,2018,52380,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8,6547.5,Vitara Brezza ZDi Plus,10.15
Nissan,Kolkata,2011,44000,Petrol,Manual,First,18.06,1198.0,75.0,5.0,15,2933.3,Micra XV,2.65
Ford,Hyderabad,2015,84000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,11,7636.4,Figo Diesel EXI,3.8
Honda,Kochi,2017,41697,Petrol,Automatic,First,13.1,1997.0,141.1,5.0,9,4633.0,CR-V 2.0 AT,16.68
Nissan,Pune,2014,163000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,12,13583.3,Terrano XV 110 PS,5.0
Toyota,Chennai,2011,42000,Petrol,Manual,Second,17.71,1197.0,78.9,5.0,15,2800.0,Etios Liva 1.2 G,3.75
Hyundai,Jaipur,2013,129000,Diesel,Manual,Third,21.27,1396.0,88.76,5.0,13,9923.1,i20 Asta 1.4 CRDi,4.11
Ford,Chennai,2015,32200,Petrol,Manual,Second,18.16,1196.0,86.8,5.0,11,2927.3,Figo Aspire 1.2 Ti-VCT Ambiente,4.25
Mitsubishi,Mumbai,2004,129000,Diesel,Manual,First,10.5,2835.0,107.2,6.0,22,5863.6,Pajero 2.8 GLX CRZ,3.45
Audi,Bangalore,2014,40000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,12,3333.3,A4 2.0 TDI 177 Bhp Premium Plus,22.5
Toyota,Delhi,2006,150000,Petrol,Manual,First,12.4,1998.0,132.0,8.0,20,7500.0,Innova 2.0 E,4.5
Chevrolet,Jaipur,2007,140000,Petrol,Manual,First,15.26,1150.0,74.9,5.0,19,7368.4,Aveo U-VA 1.2 LS,0.9
Hyundai,Hyderabad,2006,63181,Petrol,Manual,First,15.3,1341.0,83.0,5.0,20,3159.0,Getz GLS,1.85
Honda,Kolkata,2013,39575,Diesel,Manual,First,25.8,1498.0,98.6,5.0,13,3044.2,Amaze S i-Dtech,3.25
Ford,Coimbatore,2014,70374,Diesel,Manual,First,22.7,1498.0,89.84,5.0,12,5864.5,Ecosport 1.5 DV5 MT Titanium Optional,7.34
Volkswagen,Kolkata,2015,26256,Diesel,Manual,First,20.14,1498.0,88.5,5.0,11,2386.9,CrossPolo 1.5 TDI,4.25
Hyundai,Delhi,2016,13460,Petrol,Manual,First,18.6,1197.0,81.86,5.0,10,1346.0,Elite i20 Petrol Sportz,6.45
Toyota,Chennai,2011,122000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,15,8133.3,Innova 2.5 V Diesel 8-seater,10.75
Mercedes-Benz,Kolkata,2015,58589,Diesel,Automatic,First,15.26,2143.0,203.2,5.0,11,5326.3,M-Class ML 250 CDI,27.75
Maruti Suzuki,Jaipur,2005,115000,Petrol,Manual,Second,17.3,1061.0,64.0,5.0,21,5476.2,Wagon R LX BSIII,0.99
Ford,Pune,2016,75000,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,10,7500.0,Endeavour 2.2 Trend AT 4X2,24.0
Hyundai,Jaipur,2016,30292,Petrol,Manual,First,18.6,1197.0,81.86,5.0,10,3029.2,Elite i20 Petrol Sportz,6.1
Honda,Ahmedabad,2017,32248,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9,3583.1,WRV i-VTEC VX,8.25
Volkswagen,Bangalore,2013,74000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,13,5692.3,Polo Petrol Highline 1.2L,4.65
Honda,Mumbai,2014,56100,Petrol,Manual,First,13.7,1997.0,153.86,5.0,12,4675.0,CR-V 2.0L 2WD MT,9.75
Hyundai,Bangalore,2014,61325,Petrol,Manual,First,18.9,1197.0,81.86,5.0,12,5110.4,Grand i10 1.2 Kappa Asta,4.4
Maruti Suzuki,Kolkata,2014,33000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,12,2750.0,Swift Dzire VXI,3.99
BMW,Coimbatore,2016,18090,Diesel,Automatic,First,16.2,2993.0,258.0,5.0,10,1809.0,5 Series 2003-2012 530d,45.73
Ford,Kochi,2014,71390,Diesel,Manual,First,22.7,1498.0,89.84,5.0,12,5949.2,Ecosport 1.5 DV5 MT Ambiente,5.27
Maruti Suzuki,Mumbai,2014,41000,CNG,Manual,First,26.2,998.0,58.2,5.0,12,3416.7,Wagon R LXI CNG,3.5
Honda,Ahmedabad,2016,67000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,10,6700.0,City i DTec V,7.25
Tata,Chennai,2008,99000,Diesel,Manual,Second,17.0,1405.0,70.0,5.0,18,5500.0,Indigo LS,1.6
Renault,Pune,2014,142000,Diesel,Manual,Second,19.01,1461.0,108.45,5.0,12,11833.3,Duster 110PS Diesel RxL,6.0
Hyundai,Chennai,2010,26966,Petrol,Manual,First,20.36,1197.0,78.9,5.0,16,1685.4,i10 Sportz,3.0
Honda,Mumbai,2015,27628,Petrol,Manual,First,18.7,1199.0,88.7,5.0,11,2511.6,Jazz 1.2 SV i VTEC,4.95
Maruti Suzuki,Hyderabad,2016,82497,Diesel,Manual,First,23.65,1248.0,88.5,5.0,10,8249.7,SX4 S Cross DDiS 200 Zeta,8.99
Honda,Mumbai,2007,86000,Petrol,Manual,Third,11.9,2354.0,144.0,5.0,19,4526.3,Accord VTi-L MT,1.85
Volkswagen,Coimbatore,2016,26981,Petrol,Manual,First,16.47,1198.0,73.9,5.0,10,2698.1,Polo Petrol Comfortline 1.2L,6.16
Maruti Suzuki,Hyderabad,2010,110471,Diesel,Manual,First,21.1,1248.0,73.9,5.0,16,6904.4,Ritz VDi,3.5
Honda,Jaipur,2014,69000,Petrol,Manual,First,19.5,1199.0,88.76,5.0,12,5750.0,Amaze S Petrol,4.5
Hyundai,Hyderabad,2017,12000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,9,1333.3,i20 1.2 Asta Option,7.75
Renault,Hyderabad,2014,77500,Diesel,Manual,First,20.45,1461.0,83.8,5.0,12,6458.3,Duster 85PS Diesel RxL,6.6
Hyundai,Kochi,2014,48031,Petrol,Manual,First,18.9,1197.0,82.0,5.0,12,4002.6,Grand i10 Magna,4.98
BMW,Chennai,2008,170000,Diesel,Automatic,Third,16.07,1995.0,181.0,5.0,18,9444.4,3 Series 320d Highline,9.75
Ford,Mumbai,2014,69565,Diesel,Manual,First,22.7,1498.0,89.84,5.0,12,5797.1,Ecosport 1.5 DV5 MT Trend,5.55
Volkswagen,Hyderabad,2016,45492,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,10,4549.2,Vento 1.5 TDI Highline AT,10.3
Honda,Chennai,2011,85000,Petrol,Automatic,Second,11.7,2354.0,177.6,5.0,15,5666.7,Accord 2.4 AT,7.5
Chevrolet,Hyderabad,2008,55902,Petrol,Manual,First,14.49,1399.0,92.7,5.0,18,3105.7,Aveo 1.4,1.8
Volkswagen,Hyderabad,2017,18500,Petrol,Manual,First,16.2,1199.0,74.0,5.0,9,2055.6,Polo 1.2 MPI Highline Plus,6.25
Mahindra,Hyderabad,2015,129750,Diesel,Manual,Second,14.95,2489.0,93.7,7.0,11,11795.5,Xylo D4 BS III,6.8
Hyundai,Hyderabad,2009,50902,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,17,2994.2,i10 Magna AT,3.0
Mahindra,Coimbatore,2015,84725,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11,7702.3,XUV500 W8 4WD,11.6
Hyundai,Mumbai,2013,40000,Diesel,Manual,Second,22.7,1582.0,126.24,5.0,13,3076.9,Elantra CRDi SX,6.95
Volkswagen,Mumbai,2010,60000,Petrol,Manual,Third,14.3,1798.0,160.0,5.0,16,3750.0,Passat 1.8 TSI MT,3.5
Hyundai,Coimbatore,2014,33496,Petrol,Manual,First,18.9,1197.0,81.86,5.0,12,2791.3,Grand i10 1.2 Kappa Sportz,5.5
Hyundai,Mumbai,2015,25000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,11,2272.7,i20 Asta Option 1.2,5.65
Chevrolet,Ahmedabad,2013,71000,Diesel,Manual,First,18.2,1248.0,73.8,8.0,13,5461.5,Enjoy TCDi LS 8 Seater,3.25
Skoda,Coimbatore,2015,20826,Petrol,Automatic,First,14.3,1598.0,103.6,5.0,11,1893.3,Rapid 1.6 MPI AT Ambition Plus Alloy,7.72
Hyundai,Pune,2016,42244,Diesel,Manual,First,19.67,1582.0,126.2,5.0,10,4224.4,Creta 1.6 CRDi SX,12.0
Chevrolet,Jaipur,2013,98598,Diesel,Manual,First,25.44,936.0,57.6,5.0,13,7584.5,Beat Diesel PS,1.55
Toyota,Delhi,2011,62100,Diesel,Manual,First,11.5,2982.0,171.0,7.0,15,4140.0,Fortuner 3.0 Diesel,10.75
Hyundai,Coimbatore,2016,44238,Petrol,Manual,First,18.6,1197.0,81.83,5.0,10,4423.8,i20 Sportz Option 1.2,6.72
Audi,Coimbatore,2012,91743,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,14,6553.1,Q7 3.0 TDI quattro,28.55
Porsche,Bangalore,2013,19828,Diesel,Automatic,Second,17.85,2967.0,300.0,4.0,13,1525.2,Panamera Diesel,75.0
Honda,Hyderabad,2016,36891,Petrol,Manual,First,17.8,1497.0,117.3,5.0,10,3689.1,City i VTEC VX,10.49
Mahindra,Hyderabad,2012,90049,Diesel,Manual,First,17.21,1493.0,100.0,7.0,14,6432.1,Quanto C4,3.8
Audi,Ahmedabad,2012,74002,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,14,5285.9,A4 2.0 TDI Multitronic,18.5
Hyundai,Kolkata,2013,41000,Petrol,Automatic,First,12.37,2359.0,198.25,5.0,13,3153.8,Sonata Transform 2.4 GDi AT,6.0
Hyundai,Hyderabad,2012,83678,Diesel,Manual,First,22.32,1582.0,126.32,5.0,14,5977.0,Verna 1.6 SX,5.5
Maruti Suzuki,Pune,2010,91000,Petrol,Manual,First,18.9,998.0,67.1,5.0,16,5687.5,Wagon R LXI BS IV,2.3
Maruti Suzuki,Jaipur,2016,50000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,10,5000.0,Ertiga SHVS ZDI Plus,8.7
Hyundai,Delhi,2015,58000,Diesel,Manual,First,24.4,1120.0,71.01,5.0,11,5272.7,Xcent 1.1 CRDi S Option,4.95
Maruti Suzuki,Jaipur,2012,80000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,14,5714.3,Swift VDI,4.25
Mahindra,Kochi,2017,41290,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,9,4587.8,XUV500 W6 2WD,10.94
BMW,Delhi,2013,65000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,13,5000.0,5 Series 520d Luxury Line,21.26
Toyota,Bangalore,2016,16471,Petrol,Manual,Second,14.28,1798.0,138.03,5.0,10,1647.1,Corolla Altis 1.8 G,11.5
Hyundai,Pune,2015,54339,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,11,4939.9,i20 Asta 1.4 CRDi,6.0
Mahindra,Hyderabad,2016,24025,Petrol,Manual,First,18.15,1198.0,82.0,6.0,10,2402.5,KUV 100 mFALCON G80 K2,4.1
Maruti Suzuki,Kolkata,2013,24027,Petrol,Manual,First,24.7,796.0,47.3,5.0,13,1848.2,Alto 800 2016-2019 LXI,2.01
Fiat,Hyderabad,2010,59270,Petrol,Manual,First,15.7,1172.0,67.0,5.0,16,3704.4,Punto EVO 1.2 Emotion,2.6
Maruti Suzuki,Kolkata,2012,40000,Petrol,Manual,First,18.9,998.0,67.1,5.0,14,2857.1,Wagon R VXI BS IV,2.35
Mitsubishi,Bangalore,2012,155566,Diesel,Manual,Second,9.5,2835.0,118.6,6.0,14,11111.9,Pajero 4X4 LHD,9.15
Honda,Chennai,2013,42320,Petrol,Manual,First,19.4,1198.0,86.8,5.0,13,3255.4,Brio EX MT,2.9
Hyundai,Coimbatore,2017,24153,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,9,2683.7,i20 Asta Option 1.4 CRDi,9.18
Hyundai,Mumbai,2016,27000,Petrol,Automatic,First,13.0,1591.0,121.3,5.0,10,2700.0,Creta 1.6 SX Plus Petrol Automatic,11.45
Maruti Suzuki,Hyderabad,2012,92000,CNG,Manual,Second,26.83,796.0,38.4,5.0,14,6571.4,Alto Green LXi (CNG),2.1
Honda,Kochi,2017,61795,Petrol,Manual,First,17.8,1198.0,86.7,5.0,9,6866.1,Amaze S i-VTEC,5.53
Mahindra,Chennai,2016,13500,Petrol,Manual,First,18.15,1198.0,82.0,6.0,10,1350.0,KUV 100 mFALCON G80 K6 Plus,3.75
Honda,Pune,2018,4500,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,8,562.5,City i-VTEC CVT VX,12.5
Mahindra,Mumbai,2017,23000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,9,2555.6,XUV500 AT W10 FWD,15.5
Mercedes-Benz,Mumbai,2013,80578,Diesel,Automatic,Second,14.84,2143.0,170.0,5.0,13,6198.3,New C-Class 220 CDI AT,14.5
Renault,Coimbatore,2017,42646,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,9,4738.4,Duster 110PS Diesel RxZ AMT,12.46
Volkswagen,Bangalore,2014,30000,Petrol,Manual,Second,16.47,1198.0,74.0,5.0,12,2500.0,Polo 1.2 MPI Comfortline,5.25
Mercedes-Benz,Bangalore,2009,98000,Diesel,Automatic,Second,13.5,2987.0,282.0,5.0,17,5764.7,S Class 2005 2013 S 350 CDI,25.0
Jaguar,Hyderabad,2012,50000,Diesel,Automatic,First,12.9,2993.0,271.23,4.0,14,3571.4,XJ 3.0L Premium Luxury,45.0
Maruti Suzuki,Jaipur,2015,63310,Diesel,Manual,First,28.4,1248.0,74.0,5.0,11,5755.5,Swift VDI,5.1
Honda,Delhi,2014,66000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,12,5500.0,Amaze S i-Dtech,3.5
BMW,Ahmedabad,2011,74000,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,15,4933.3,3 Series 320d Highline,12.5
Hyundai,Hyderabad,2012,93000,Diesel,Manual,First,23.5,1396.0,88.7,5.0,14,6642.9,Verna 1.4 EX,5.55
Toyota,Delhi,2015,70000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,11,6363.6,Fortuner 4x2 4 Speed AT,19.48
Maruti Suzuki,Ahmedabad,2012,48772,Petrol,Manual,First,18.6,1197.0,85.8,5.0,14,3483.7,Swift VXI,3.91
Chevrolet,Chennai,2010,66000,Petrol,Manual,First,18.6,1199.0,79.4,5.0,16,4125.0,Beat LS,2.19
Hyundai,Coimbatore,2017,27417,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,9,3046.3,Grand i10 Asta Option AT,6.89
Ford,Coimbatore,2011,51593,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,15,3439.5,Figo Petrol ZXI,3.47
Maruti Suzuki,Pune,2010,75000,Petrol,Manual,First,16.1,1298.0,88.2,5.0,16,4687.5,Swift VXI BSIII,2.85
Audi,Coimbatore,2016,39237,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,10,3923.7,A4 35 TDI Premium,25.64
Honda,Kochi,2018,11966,Petrol,Manual,First,16.8,1497.0,116.3,5.0,8,1495.8,City V MT,10.28
Honda,Hyderabad,2015,37000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,11,3363.6,Jazz V,6.3
Volkswagen,Chennai,2014,70920,Diesel,Manual,First,20.14,1498.0,88.8,5.0,12,5910.0,Polo 1.5 TDI Highline,4.75
Nissan,Hyderabad,2013,65280,Diesel,Manual,First,19.87,1461.0,83.14,5.0,13,5021.5,Terrano XL D Option,5.8
Land Rover,Hyderabad,2016,62000,Diesel,Automatic,First,12.51,2179.0,187.7,7.0,10,6200.0,Discovery Sport SD4 HSE Luxury 7S,44.5
Hyundai,Kochi,2014,44525,Petrol,Manual,First,18.5,1197.0,82.9,5.0,12,3710.4,i20 Magna Optional 1.2,4.65
Honda,Jaipur,2009,86863,Petrol,Manual,First,17.0,1497.0,118.0,5.0,17,5109.6,City 1.5 E MT,3.6
Mahindra,Hyderabad,2015,102626,Diesel,Manual,First,16.0,2179.0,140.0,7.0,11,9329.6,XUV500 W10 AWD,12.25
Jeep,Jaipur,2017,45000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,9,5000.0,Compass 2.0 Limited Option 4X4,20.0
Mahindra,Jaipur,2017,22000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,9,2444.4,XUV500 W10 AWD,16.0
Mahindra,Coimbatore,2011,108905,Diesel,Automatic,Second,11.79,2179.0,120.0,8.0,15,7260.3,Scorpio VLX 4WD AIRBAG AT BSIV,6.21
Datsun,Kolkata,2016,12800,Petrol,Manual,First,19.44,1198.0,67.0,7.0,10,1280.0,GO Plus T,3.25
Mahindra,Kolkata,2016,32000,Diesel,Manual,First,15.4,2179.0,120.0,7.0,10,3200.0,Scorpio S6 Plus 7 Seater,9.75
Honda,Mumbai,2014,39000,Petrol,Automatic,First,15.5,1198.0,86.7,5.0,12,3250.0,Amaze S AT i-Vtech,4.45
Honda,Pune,2017,42000,Diesel,Manual,First,25.6,1498.0,98.6,5.0,9,4666.7,City i-DTEC ZX,12.0
Tata,Chennai,2008,73000,Petrol,Manual,First,14.4,1396.0,65.0,5.0,18,4055.6,Indigo GLE,0.8
Hyundai,Chennai,2018,48000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,8,6000.0,Grand i10 1.2 CRDi Sportz,5.95
Maruti Suzuki,Pune,2015,18000,CNG,Manual,First,33.44,796.0,40.3,4.0,11,1636.4,Alto 800 2016-2019 CNG LXI,3.0
Hyundai,Kolkata,2014,19000,Petrol,Manual,First,17.43,1396.0,105.5,5.0,12,1583.3,Verna 1.4 CX VTVT,5.25
Toyota,Coimbatore,2019,33598,Diesel,Manual,First,13.68,2393.0,147.8,7.0,7,4799.7,Innova Crysta 2.4 VX MT,22.2
BMW,Jaipur,2012,63000,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,14,4500.0,X1 sDrive20d,13.5
Volkswagen,Chennai,2015,48000,Diesel,Automatic,First,16.96,1968.0,138.03,5.0,11,4363.6,Jetta 2013-2015 2.0L TDI Highline AT,13.5
Ford,Delhi,2014,66000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,12,5500.0,Figo Diesel ZXI,3.47
Mahindra,Ahmedabad,2013,80000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,13,6153.8,Ssangyong Rexton RX7,9.5
Volkswagen,Chennai,2011,37000,Petrol,Manual,First,15.04,1598.0,103.6,5.0,15,2466.7,Vento Petrol Highline,4.8
Skoda,Kochi,2016,35058,Petrol,Manual,First,15.0,1598.0,103.52,5.0,10,3505.8,Rapid 1.6 MPI Ambition With Alloy Wheel,6.54
Volkswagen,Delhi,2012,52000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,14,3714.3,Polo Petrol Comfortline 1.2L,3.1
Maruti Suzuki,Hyderabad,2015,61313,Diesel,Manual,First,23.65,1248.0,88.5,5.0,11,5573.9,S Cross DDiS 200 Delta,7.99
Toyota,Kolkata,2009,45000,Petrol,Manual,Second,14.53,1798.0,138.1,5.0,17,2647.1,Corolla Altis G,3.3
Maruti Suzuki,Bangalore,2015,74000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,11,6727.3,Ertiga ZDI,8.75
Hyundai,Hyderabad,2013,89000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,13,6846.2,i10 Asta Sunroof AT,4.19
Mercedes-Benz,Kochi,2019,13414,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,7,1916.3,CLA 200 CDI Sport,30.77
Honda,Jaipur,2006,95000,Petrol,Manual,Second,16.9,1497.0,100.0,5.0,20,4750.0,City ZX VTEC,2.11
Mahindra,Jaipur,2018,15900,Petrol,Manual,First,18.15,1198.0,82.0,6.0,8,1987.5,KUV 100 G80 K8,6.25
Toyota,Delhi,2011,151000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,15,10066.7,Fortuner 3.0 Diesel,11.4
Honda,Bangalore,2011,65000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,15,4333.3,City 1.5 V MT,5.2
Audi,Coimbatore,2017,36824,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,9,4091.6,A6 35 TDI Matrix,39.84
Ford,Coimbatore,2013,65287,Diesel,Manual,First,20.0,1399.0,68.05,5.0,13,5022.1,Figo Diesel ZXI,4.45
Mercedes-Benz,Kolkata,2014,52000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,12,4333.3,GLA Class 200 CDI,19.5
Chevrolet,Hyderabad,2007,33000,Petrol,Manual,First,15.26,1150.0,74.9,5.0,19,1736.8,Aveo U-VA 1.2 LS,1.75
Ford,Hyderabad,2016,71000,Diesel,Manual,First,25.83,1498.0,99.0,5.0,10,7100.0,Figo 2015-2019 1.5D Titanium MT,5.1
Hyundai,Delhi,2013,71000,Diesel,Automatic,First,22.7,1582.0,126.2,5.0,13,5461.5,Elantra CRDi SX AT,6.8
Maruti Suzuki,Kolkata,2016,20000,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,10,2000.0,Baleno Zeta CVT,5.74
Maruti Suzuki,Hyderabad,2010,71000,Petrol,Manual,First,16.1,1197.0,85.0,5.0,16,4437.5,Swift LXi BSIV,3.3
Mercedes-Benz,Hyderabad,2010,29000,Diesel,Automatic,First,9.9,3498.0,271.72,4.0,16,1812.5,CLS-Class 2006-2010 350 CDI,32.0
BMW,Ahmedabad,2016,27000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,10,2700.0,3 Series Luxury Line,35.0
Maruti Suzuki,Chennai,2017,19000,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,9,2111.1,Dzire AMT ZDI Plus,8.9
Hyundai,Mumbai,2011,58000,Petrol,Manual,Second,17.01,1591.0,121.3,5.0,15,3866.7,Verna 1.6 SX VTVT,4.0
Jeep,Kochi,2018,42203,Diesel,Manual,First,17.1,1956.0,170.0,5.0,8,5275.4,Compass 2.0 Longitude,19.46
Hyundai,Hyderabad,2009,94000,Diesel,Automatic,First,11.4,1991.0,142.0,5.0,17,5529.4,Sonata Embera 2.0L CRDi AT,5.25
Maruti Suzuki,Delhi,2013,52000,CNG,Manual,Second,15.1,1196.0,73.0,5.0,13,4000.0,Eeco 5 STR With AC Plus HTR CNG,2.6
Tata,Kolkata,2018,4900,Diesel,Manual,First,21.5,1497.0,108.5,5.0,8,612.5,Nexon 1.5 Revotorq XZ Plus Dual Tone,9.22
Hyundai,Jaipur,2013,70000,Petrol,Manual,First,21.1,814.0,55.2,5.0,13,5384.6,EON Era Plus,1.8
BMW,Kochi,2015,65266,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,11,5933.3,5 Series 2013-2017 530d M Sport,31.75
Maruti Suzuki,Delhi,2014,54569,Diesel,Manual,First,20.77,1248.0,88.76,7.0,12,4547.4,Ertiga VDI,5.99
Honda,Kochi,2015,51361,Petrol,Manual,First,18.0,1198.0,86.7,5.0,11,4669.2,Amaze E i-Vtech,4.94
